text,label
vehicle emissions increased nitrogen dioxide levels,0
traffic congestion raised particulate matter concentration,0
diesel vehicles caused urban pollution spikes,0
coal-fired power plants emitted sulfur dioxide,1
industrial operations released harmful gases,1
biomass burning increased aerosol levels,2
crop residue burning caused smog formation,2
low wind speed trapped pollutants near surface,3
temperature inversion worsened air quality,3
household coal use increased indoor pollution,4
traditional cooking fuels produced smoke,4
